Question,Response
"I heard you got a new job, how is it going?","If we push hard, we definitely can."
Have you ever been to Paris?,"I'm really sorry, something came up."
Could you share your thoughts on the recent elections?,It's challenging but rewarding.
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things."
Have you ever been to Paris?,I'd say start with something like Spanish.
Why do you seem so distant these days?,"If we push hard, we definitely can."
Have you ever been to Paris?,It's challenging but rewarding.
"I heard you got a new job, how is it going?","I'm really sorry, something came up."
Have you ever been to Paris?,"If we push hard, we definitely can."
What are your plans for the weekend?,I've just had a lot on my mind recently.
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things."
What are your plans for the weekend?,"If we push hard, we definitely can."
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress."
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things."
Why do you seem so distant these days?,I've just had a lot on my mind recently.
Do you think we'll finish this task on time?,"If we push hard, we definitely can."
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things."
What are your plans for the weekend?,It's challenging but rewarding.
What's been bothering you lately?,"Sure, let's go over the details."
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit."
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually."
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can."
What's been bothering you lately?,I'd say start with something like Spanish.
"I heard you got a new job, how is it going?",It's challenging but rewarding.
Why didn't you call me back last night?,"I'm really sorry, something came up."
What's been bothering you lately?,It's challenging but rewarding.
Why do you seem so distant these days?,"Sure, let's go over the details."
What's been bothering you lately?,It's challenging but rewarding.
Do you think we'll finish this task on time?,"If we push hard, we definitely can."
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit."
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,I'd say start with something like Spanish.
Have you ever been to Paris?,"Sure, let's go over the details."
Do you think we'll finish this task on time?,"Sure, let's go over the details."
Have you ever been to Paris?,I'd say start with something like Spanish.
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.
Do you think we'll finish this task on time?,I'd say start with something like Spanish.
"I heard you got a new job, how is it going?","Sure, let's go over the details."
Why do you seem so distant these days?,"I'm thinking of a road trip, actually."
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit."
Have you ever been to Paris?,I've just had a lot on my mind recently.
What are your plans for the weekend?,I've just had a lot on my mind recently.
Why do you seem so distant these days?,I've just had a lot on my mind recently.
What's been bothering you lately?,"I'm not sure, maybe it's just stress."
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things."
"I heard you got a new job, how is it going?","Sure, let's go over the details."
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.
Can we talk about that project now?,I'd say start with something like Spanish.
What are your plans for the weekend?,"I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details."
What are your plans for the weekend?,It's challenging but rewarding.
What's been bothering you lately?,I've just had a lot on my mind recently.
What are your plans for the weekend?,"I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up."
What are your plans for the weekend?,It's challenging but rewarding.
"I heard you got a new job, how is it going?",It's challenging but rewarding.
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things."
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can."
Have you ever been to Paris?,"I'm really sorry, something came up."
What's been bothering you lately?,I've just had a lot on my mind recently.
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up."
What's been bothering you lately?,"If we push hard, we definitely can."
What are your plans for the weekend?,"I'm not sure, maybe it's just stress."
Have you ever been to Paris?,"I'm not sure, maybe it's just stress."
Have you ever been to Paris?,I'd say start with something like Spanish.
Why do you seem so distant these days?,"I'm really sorry, something came up."
Why do you seem so distant these days?,I've just had a lot on my mind recently.
What are your plans for the weekend?,"If we push hard, we definitely can."
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.
Can we talk about that project now?,I'd say start with something like Spanish.
Why didn't you call me back last night?,"I'm thinking of a road trip, actually."
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.
Can we talk about that project now?,"I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,It's challenging but rewarding.
What are your plans for the weekend?,"Sure, let's go over the details."
Have you ever been to Paris?,"If we push hard, we definitely can."
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
Do you think we'll finish this task on time?,It's challenging but rewarding.
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit."
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.
Why didn't you call me back last night?,"If we push hard, we definitely can."
What's been bothering you lately?,I'd say start with something like Spanish.
What are your plans for the weekend?,It's challenging but rewarding.
Can we talk about that project now?,"Sure, let's go over the details."
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually."
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things."
Why do you seem so distant these days?,"If we push hard, we definitely can."
"I heard you got a new job, how is it going?","If we push hard, we definitely can."
Have you ever been to Paris?,"If we push hard, we definitely can."
Could you share your thoughts on the recent elections?,It's challenging but rewarding.
What's been bothering you lately?,It's challenging but rewarding.
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.
Do you think we'll finish this task on time?,"Sure, let's go over the details."
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things."
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things."
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit."
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things."
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,"If we push hard, we definitely can."
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
Why didn't you call me back last night?,"Sure, let's go over the details."
What's been bothering you lately?,It's challenging but rewarding.
"I heard you got a new job, how is it going?","I'm really sorry, something came up."
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress."
Do you think we'll finish this task on time?,"I'm really sorry, something came up."
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually."
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit."
Why didn't you call me back last night?,I'd say start with something like Spanish.
Why do you seem so distant these days?,I've just had a lot on my mind recently.
What are your plans for the weekend?,It's challenging but rewarding.
Why do you seem so distant these days?,"Sure, let's go over the details."
Have you ever been to Paris?,"I'm not sure, maybe it's just stress."
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress."
"I heard you got a new job, how is it going?","If we push hard, we definitely can."
Have you ever been to Paris?,"I'm really sorry, something came up."
Why didn't you call me back last night?,I've just had a lot on my mind recently.
Can we talk about that project now?,"If we push hard, we definitely can."
Can we talk about that project now?,"I'm not sure, maybe it's just stress."
Do you think we'll finish this task on time?,"If we push hard, we definitely can."
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things."
Do you think we'll finish this task on time?,It's challenging but rewarding.
Why didn't you call me back last night?,"I'm thinking of a road trip, actually."
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit."
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.
Why do you seem so distant these days?,I'd say start with something like Spanish.
What are your plans for the weekend?,I'd say start with something like Spanish.
Why do you seem so distant these days?,I'd say start with something like Spanish.
Have you ever been to Paris?,I'd say start with something like Spanish.
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
What's been bothering you lately?,I'd say start with something like Spanish.
Can we talk about that project now?,I've just had a lot on my mind recently.
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit."
What's been bothering you lately?,I've just had a lot on my mind recently.
Can we talk about that project now?,I've just had a lot on my mind recently.
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually."
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
Can we talk about that project now?,"I'm really sorry, something came up."
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually."
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit."
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually."
What's been bothering you lately?,"If we push hard, we definitely can."
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress."
Do you think we'll finish this task on time?,It's challenging but rewarding.
Why didn't you call me back last night?,"Sure, let's go over the details."
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things."
Why do you seem so distant these days?,"If we push hard, we definitely can."
Can we talk about that project now?,"I'm really sorry, something came up."
What's been bothering you lately?,I'd say start with something like Spanish.
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things."
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.
"I heard you got a new job, how is it going?","Sure, let's go over the details."
Can we talk about that project now?,It's challenging but rewarding.
What are your plans for the weekend?,I'd say start with something like Spanish.
"I heard you got a new job, how is it going?","If we push hard, we definitely can."
What are your plans for the weekend?,"Sure, let's go over the details."
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things."
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.
Why do you seem so distant these days?,"Sure, let's go over the details."
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things."
Can we talk about that project now?,"Sure, let's go over the details."
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,"Sure, let's go over the details."
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit."
Do you think we'll finish this task on time?,"I'm really sorry, something came up."
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit."
Why didn't you call me back last night?,"If we push hard, we definitely can."
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.
What are your plans for the weekend?,"Sure, let's go over the details."
Why didn't you call me back last night?,"If we push hard, we definitely can."
What's been bothering you lately?,"If we push hard, we definitely can."
What are your plans for the weekend?,"Sure, let's go over the details."
Can we talk about that project now?,I'd say start with something like Spanish.
Have you ever been to Paris?,"If we push hard, we definitely can."
Why didn't you call me back last night?,"If we push hard, we definitely can."
What are your plans for the weekend?,"I'm really sorry, something came up."
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can."
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can."
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can."
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,I've just had a lot on my mind recently.
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can."
Do you think we'll finish this task on time?,It's challenging but rewarding.
Can we talk about that project now?,I've just had a lot on my mind recently.
What's been bothering you lately?,It's challenging but rewarding.
What are your plans for the weekend?,I've just had a lot on my mind recently.
Why didn't you call me back last night?,"I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit."
What's been bothering you lately?,I'd say start with something like Spanish.
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can."
Have you ever been to Paris?,"I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.
What are your plans for the weekend?,"I'm not sure, maybe it's just stress."
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit."
Have you ever been to Paris?,"If we push hard, we definitely can."
Why didn't you call me back last night?,"If we push hard, we definitely can."
Why do you seem so distant these days?,"I'm really sorry, something came up."
Can we talk about that project now?,"I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,It's challenging but rewarding.
Can we talk about that project now?,"I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.
What are your plans for the weekend?,I'd say start with something like Spanish.
"I heard you got a new job, how is it going?","Sure, let's go over the details."
What are your plans for the weekend?,It's challenging but rewarding.
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.
Why do you seem so distant these days?,I'd say start with something like Spanish.
What's been bothering you lately?,"If we push hard, we definitely can."
Why do you seem so distant these days?,"If we push hard, we definitely can."
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things."
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually."
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.
Can we talk about that project now?,"If we push hard, we definitely can."
Do you think we'll finish this task on time?,It's challenging but rewarding.
What's been bothering you lately?,"I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things."
What's been bothering you lately?,It's challenging but rewarding.
Can we talk about that project now?,"I'm thinking of a road trip, actually."
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit."
Can we talk about that project now?,"Sure, let's go over the details."
What's been bothering you lately?,"If we push hard, we definitely can."
What's been bothering you lately?,"If we push hard, we definitely can."
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things."
Why do you seem so distant these days?,"Sure, let's go over the details."
Could you share your thoughts on the recent elections?,"Sure, let's go over the details."
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can."
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things."
"I heard you got a new job, how is it going?","Sure, let's go over the details."
What's been bothering you lately?,I'd say start with something like Spanish.
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit."
What are your plans for the weekend?,"I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress."
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit."
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can."
Do you think we'll finish this task on time?,I'd say start with something like Spanish.
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things."
Can we talk about that project now?,"I'm thinking of a road trip, actually."
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things."
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit."
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit."
What are your plans for the weekend?,"I'm not sure, maybe it's just stress."
Have you ever been to Paris?,"Sure, let's go over the details."
Why do you seem so distant these days?,I'd say start with something like Spanish.
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress."
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things."
What's been bothering you lately?,It's challenging but rewarding.
Have you ever been to Paris?,"If we push hard, we definitely can."
Why didn't you call me back last night?,"I'm thinking of a road trip, actually."
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.
Why do you seem so distant these days?,"I'm really sorry, something came up."
What are your plans for the weekend?,It's challenging but rewarding.
What's been bothering you lately?,"I'm thinking of a road trip, actually."
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit."
Have you ever been to Paris?,It's challenging but rewarding.
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things."
What's been bothering you lately?,"If we push hard, we definitely can."
Can we talk about that project now?,"I'm thinking of a road trip, actually."
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually."
What's been bothering you lately?,It's challenging but rewarding.
Can we talk about that project now?,I'd say start with something like Spanish.
Why didn't you call me back last night?,"I'm really sorry, something came up."
Why didn't you call me back last night?,It's challenging but rewarding.
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things."
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things."
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things."
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit."
What's been bothering you lately?,"I'm thinking of a road trip, actually."
Why didn't you call me back last night?,I'd say start with something like Spanish.
Why didn't you call me back last night?,I'd say start with something like Spanish.
Do you think we'll finish this task on time?,I'd say start with something like Spanish.
What are your plans for the weekend?,It's challenging but rewarding.
Do you think we'll finish this task on time?,I'd say start with something like Spanish.
Why didn't you call me back last night?,I've just had a lot on my mind recently.
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things."
"I heard you got a new job, how is it going?",It's challenging but rewarding.
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.
Could you share your thoughts on the recent elections?,"Sure, let's go over the details."
Can we talk about that project now?,It's challenging but rewarding.
Have you ever been to Paris?,I'd say start with something like Spanish.
Can we talk about that project now?,"Sure, let's go over the details."
Can we talk about that project now?,I've just had a lot on my mind recently.
Can we talk about that project now?,"I'm not sure, maybe it's just stress."
What are your plans for the weekend?,"I'm not sure, maybe it's just stress."
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things."
Can we talk about that project now?,It's challenging but rewarding.
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
What are your plans for the weekend?,I've just had a lot on my mind recently.
Have you ever been to Paris?,"I'm thinking of a road trip, actually."
Why do you seem so distant these days?,"Sure, let's go over the details."
Why didn't you call me back last night?,"I'm thinking of a road trip, actually."
Can we talk about that project now?,I'd say start with something like Spanish.
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress."
"I heard you got a new job, how is it going?","If we push hard, we definitely can."
Why didn't you call me back last night?,"If we push hard, we definitely can."
Why didn't you call me back last night?,I've just had a lot on my mind recently.
What are your plans for the weekend?,"I'm really sorry, something came up."
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things."
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit."
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things."
Have you ever been to Paris?,I'd say start with something like Spanish.
Do you think we'll finish this task on time?,I'd say start with something like Spanish.
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit."
What are your plans for the weekend?,I've just had a lot on my mind recently.
Can we talk about that project now?,"I'm thinking of a road trip, actually."
Can we talk about that project now?,"I'm not sure, maybe it's just stress."
What's been bothering you lately?,I'd say start with something like Spanish.
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.
Can we talk about that project now?,"I'm thinking of a road trip, actually."
"I heard you got a new job, how is it going?","I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit."
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit."
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit."
Do you think we'll finish this task on time?,"If we push hard, we definitely can."
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up."
"I heard you got a new job, how is it going?","I'm really sorry, something came up."
Why didn't you call me back last night?,I'd say start with something like Spanish.
Can we talk about that project now?,It's challenging but rewarding.
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,I've just had a lot on my mind recently.
What are your plans for the weekend?,"I'm not sure, maybe it's just stress."
What are your plans for the weekend?,"I'm not sure, maybe it's just stress."
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress."
What's been bothering you lately?,"If we push hard, we definitely can."
What are your plans for the weekend?,"If we push hard, we definitely can."
What are your plans for the weekend?,"If we push hard, we definitely can."
Do you think we'll finish this task on time?,"Sure, let's go over the details."
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.
Can we talk about that project now?,"If we push hard, we definitely can."
Could you share your thoughts on the recent elections?,"Sure, let's go over the details."
Have you ever been to Paris?,I'd say start with something like Spanish.
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things."
Why do you seem so distant these days?,"If we push hard, we definitely can."
What's been bothering you lately?,"Sure, let's go over the details."
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up."
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit."
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things."
Do you think we'll finish this task on time?,It's challenging but rewarding.
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things."
What's been bothering you lately?,It's challenging but rewarding.
Do you think we'll finish this task on time?,"I'm really sorry, something came up."
Why didn't you call me back last night?,"If we push hard, we definitely can."
What's been bothering you lately?,"Sure, let's go over the details."
Do you think we'll finish this task on time?,It's challenging but rewarding.
Can we talk about that project now?,"Sure, let's go over the details."
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details."
Why didn't you call me back last night?,I've just had a lot on my mind recently.
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually."
Have you ever been to Paris?,"I'm thinking of a road trip, actually."
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually."
What's been bothering you lately?,I'd say start with something like Spanish.
Why didn't you call me back last night?,I've just had a lot on my mind recently.
Have you ever been to Paris?,I've just had a lot on my mind recently.
Have you ever been to Paris?,"Sure, let's go over the details."
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things."
Do you think we'll finish this task on time?,I'd say start with something like Spanish.
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up."
Why do you seem so distant these days?,I'd say start with something like Spanish.
What's been bothering you lately?,"Sure, let's go over the details."
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.
What are your plans for the weekend?,"I'm thinking of a road trip, actually."
Have you ever been to Paris?,"If we push hard, we definitely can."
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can."
Why do you seem so distant these days?,"I'm thinking of a road trip, actually."
Why do you seem so distant these days?,"Sure, let's go over the details."
What are your plans for the weekend?,"I'm thinking of a road trip, actually."
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things."
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things."
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit."
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can."
Why do you seem so distant these days?,"Sure, let's go over the details."
Why do you seem so distant these days?,I've just had a lot on my mind recently.
"I heard you got a new job, how is it going?","I'm really sorry, something came up."
Do you think we'll finish this task on time?,"If we push hard, we definitely can."
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things."
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
Have you ever been to Paris?,It's challenging but rewarding.
"I heard you got a new job, how is it going?","Sure, let's go over the details."
Have you ever been to Paris?,It's challenging but rewarding.
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details."
What's been bothering you lately?,It's challenging but rewarding.
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually."
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress."
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
What are your plans for the weekend?,"If we push hard, we definitely can."
Have you ever been to Paris?,I've just had a lot on my mind recently.
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things."
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually."
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things."
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.
What are your plans for the weekend?,"Sure, let's go over the details."
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit."
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.
Can we talk about that project now?,I've just had a lot on my mind recently.
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress."
Can we talk about that project now?,"I'm really sorry, something came up."
Why do you seem so distant these days?,I'd say start with something like Spanish.
Do you think we'll finish this task on time?,It's challenging but rewarding.
What are your plans for the weekend?,"Sure, let's go over the details."
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress."
Why didn't you call me back last night?,I'd say start with something like Spanish.
Why didn't you call me back last night?,It's challenging but rewarding.
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually."
Have you ever been to Paris?,"I'm really sorry, something came up."
Why didn't you call me back last night?,"If we push hard, we definitely can."
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually."
Have you ever been to Paris?,I've just had a lot on my mind recently.
"I heard you got a new job, how is it going?","Sure, let's go over the details."
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress."
Why didn't you call me back last night?,"I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can."
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up."
What's been bothering you lately?,"Sure, let's go over the details."
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit."
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit."
What are your plans for the weekend?,"I'm thinking of a road trip, actually."
"I heard you got a new job, how is it going?","I'm really sorry, something came up."
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things."
What's been bothering you lately?,"If we push hard, we definitely can."
Why didn't you call me back last night?,"Sure, let's go over the details."
Do you think we'll finish this task on time?,"If we push hard, we definitely can."
Why do you seem so distant these days?,I've just had a lot on my mind recently.
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit."
Have you ever been to Paris?,"Sure, let's go over the details."
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things."
Can we talk about that project now?,"I'm really sorry, something came up."
Why didn't you call me back last night?,"I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can."
Have you ever been to Paris?,"Sure, let's go over the details."
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,"Sure, let's go over the details."
Why didn't you call me back last night?,"I'm really sorry, something came up."
Why do you seem so distant these days?,It's challenging but rewarding.
What's been bothering you lately?,"I'm not sure, maybe it's just stress."
What's been bothering you lately?,I'd say start with something like Spanish.
What's been bothering you lately?,"Sure, let's go over the details."
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.
Do you think we'll finish this task on time?,"I'm really sorry, something came up."
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit."
What are your plans for the weekend?,"I'm thinking of a road trip, actually."
Have you ever been to Paris?,"I'm thinking of a road trip, actually."
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit."
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up."
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things."
"I heard you got a new job, how is it going?","I'm really sorry, something came up."
Do you think we'll finish this task on time?,"If we push hard, we definitely can."
"I heard you got a new job, how is it going?","If we push hard, we definitely can."
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,I've just had a lot on my mind recently.
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually."
Can we talk about that project now?,It's challenging but rewarding.
What are your plans for the weekend?,I've just had a lot on my mind recently.
