Question,Response,Emotion,Dialogue Act,Conversation Type
Can we talk about that project now?,"I'm thinking of a road trip, actually.",surprise,directive,school life
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",disgust,question,health
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,surprise,directive,ordinary life
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",happiness,inform,tourism
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",fear,question,tourism
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",surprise,commissive,culture & education
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",disgust,inform,work
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,sadness,question,school life
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",happiness,inform,ordinary life
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",happiness,directive,ordinary life
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",happiness,inform,culture & education
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,happiness,commissive,school life
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,disgust,commissive,relationship
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",disgust,question,work
Have you ever been to Paris?,"Sure, let's go over the details.",fear,commissive,health
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,anger,directive,school life
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,sadness,inform,culture & education
What are your plans for the weekend?,I'd say start with something like Spanish.,surprise,directive,relationship
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",surprise,question,politics
What's been bothering you lately?,"Sure, let's go over the details.",surprise,question,politics
What's been bothering you lately?,"I'm really sorry, something came up.",fear,commissive,relationship
Why do you seem so distant these days?,"If we push hard, we definitely can.",surprise,directive,tourism
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",happiness,question,politics
What's been bothering you lately?,"I'm really sorry, something came up.",surprise,inform,politics
What's been bothering you lately?,"Sure, let's go over the details.",anger,directive,culture & education
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",fear,question,attitude & emotion
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",surprise,inform,work
What are your plans for the weekend?,I've just had a lot on my mind recently.,happiness,inform,school life
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",happiness,inform,work
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",sadness,question,politics
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",sadness,inform,school life
Why didn't you call me back last night?,"If we push hard, we definitely can.",disgust,inform,relationship
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",anger,commissive,health
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",disgust,inform,work
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",disgust,question,politics
Why didn't you call me back last night?,It's challenging but rewarding.,anger,inform,tourism
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",happiness,commissive,relationship
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details.",disgust,directive,finance
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",anger,commissive,tourism
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",disgust,inform,relationship
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",surprise,commissive,ordinary life
Why do you seem so distant these days?,"Sure, let's go over the details.",anger,inform,relationship
Have you ever been to Paris?,I've just had a lot on my mind recently.,fear,commissive,ordinary life
What's been bothering you lately?,It's challenging but rewarding.,disgust,inform,politics
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",anger,commissive,attitude & emotion
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",sadness,inform,attitude & emotion
Have you ever been to Paris?,I've just had a lot on my mind recently.,sadness,directive,health
Why do you seem so distant these days?,"If we push hard, we definitely can.",sadness,question,school life
What's been bothering you lately?,"I'm thinking of a road trip, actually.",sadness,directive,attitude & emotion
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",sadness,question,ordinary life
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",sadness,commissive,culture & education
Can we talk about that project now?,"I'm really sorry, something came up.",disgust,inform,health
What are your plans for the weekend?,"I'm not sure, maybe it's just stress.",surprise,directive,health
Why do you seem so distant these days?,"I'm really sorry, something came up.",anger,directive,work
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",surprise,question,finance
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",anger,question,health
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,surprise,question,politics
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details.",happiness,question,finance
What are your plans for the weekend?,"If we push hard, we definitely can.",happiness,inform,attitude & emotion
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",sadness,commissive,finance
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",anger,inform,culture & education
Why do you seem so distant these days?,"If we push hard, we definitely can.",surprise,directive,work
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",surprise,inform,health
Do you think we'll finish this task on time?,It's challenging but rewarding.,anger,question,work
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,disgust,question,finance
What are your plans for the weekend?,I've just had a lot on my mind recently.,happiness,commissive,work
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",happiness,question,ordinary life
Can we talk about that project now?,I've just had a lot on my mind recently.,happiness,commissive,finance
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",anger,commissive,attitude & emotion
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",surprise,commissive,ordinary life
Why didn't you call me back last night?,I've just had a lot on my mind recently.,happiness,commissive,school life
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,disgust,directive,culture & education
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",fear,directive,attitude & emotion
What's been bothering you lately?,I'd say start with something like Spanish.,fear,commissive,ordinary life
Have you ever been to Paris?,"I'm thinking of a road trip, actually.",anger,question,tourism
Can we talk about that project now?,It's challenging but rewarding.,fear,question,school life
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",happiness,commissive,finance
Why didn't you call me back last night?,I've just had a lot on my mind recently.,fear,question,culture & education
Why didn't you call me back last night?,I've just had a lot on my mind recently.,surprise,commissive,culture & education
Can we talk about that project now?,It's challenging but rewarding.,surprise,commissive,culture & education
Can we talk about that project now?,It's challenging but rewarding.,happiness,inform,attitude & emotion
What are your plans for the weekend?,I've just had a lot on my mind recently.,disgust,question,ordinary life
Why do you seem so distant these days?,"Sure, let's go over the details.",surprise,question,culture & education
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",surprise,commissive,attitude & emotion
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",sadness,question,culture & education
Why didn't you call me back last night?,"Sure, let's go over the details.",disgust,inform,tourism
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",disgust,inform,attitude & emotion
Can we talk about that project now?,I've just had a lot on my mind recently.,happiness,question,tourism
Why didn't you call me back last night?,"If we push hard, we definitely can.",disgust,commissive,attitude & emotion
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",happiness,directive,health
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit.",fear,question,culture & education
Have you ever been to Paris?,"I'm really sorry, something came up.",sadness,directive,attitude & emotion
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",disgust,directive,attitude & emotion
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",sadness,commissive,relationship
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",sadness,inform,culture & education
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.,sadness,inform,attitude & emotion
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",fear,question,finance
Have you ever been to Paris?,"Sure, let's go over the details.",anger,question,relationship
What's been bothering you lately?,I've just had a lot on my mind recently.,fear,question,ordinary life
Can we talk about that project now?,"If we push hard, we definitely can.",fear,directive,health
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",surprise,directive,school life
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",surprise,commissive,health
Can we talk about that project now?,"I'm really sorry, something came up.",fear,question,relationship
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,happiness,commissive,relationship
What's been bothering you lately?,"I'm really sorry, something came up.",disgust,inform,culture & education
What are your plans for the weekend?,It's challenging but rewarding.,disgust,inform,health
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",anger,question,ordinary life
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",anger,directive,health
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",fear,directive,relationship
What are your plans for the weekend?,"If we push hard, we definitely can.",surprise,question,politics
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",surprise,directive,attitude & emotion
What's been bothering you lately?,"If we push hard, we definitely can.",disgust,question,school life
Can we talk about that project now?,I'd say start with something like Spanish.,happiness,question,ordinary life
What are your plans for the weekend?,"I'm really sorry, something came up.",sadness,directive,tourism
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",surprise,directive,ordinary life
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",surprise,directive,relationship
Why do you seem so distant these days?,It's challenging but rewarding.,anger,directive,finance
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",anger,commissive,ordinary life
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,fear,commissive,attitude & emotion
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",fear,inform,school life
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,surprise,directive,school life
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",happiness,question,school life
What's been bothering you lately?,I've just had a lot on my mind recently.,surprise,directive,culture & education
What's been bothering you lately?,"I'm thinking of a road trip, actually.",fear,commissive,attitude & emotion
Have you ever been to Paris?,"I'm thinking of a road trip, actually.",anger,question,work
What's been bothering you lately?,"Sure, let's go over the details.",fear,inform,health
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,happiness,commissive,finance
Have you ever been to Paris?,I'd say start with something like Spanish.,sadness,directive,culture & education
What's been bothering you lately?,"Sure, let's go over the details.",fear,commissive,school life
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",fear,question,culture & education
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",fear,question,attitude & emotion
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",sadness,question,work
Can we talk about that project now?,"Sure, let's go over the details.",surprise,directive,ordinary life
Have you ever been to Paris?,It's challenging but rewarding.,anger,commissive,ordinary life
What's been bothering you lately?,It's challenging but rewarding.,happiness,directive,school life
What are your plans for the weekend?,I'd say start with something like Spanish.,disgust,inform,culture & education
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",fear,commissive,relationship
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.,happiness,directive,attitude & emotion
What are your plans for the weekend?,I've just had a lot on my mind recently.,happiness,inform,finance
Can we talk about that project now?,"Sure, let's go over the details.",happiness,inform,culture & education
Why didn't you call me back last night?,"Sure, let's go over the details.",disgust,inform,work
"I heard you got a new job, how is it going?","Sure, let's go over the details.",fear,question,culture & education
Can we talk about that project now?,I've just had a lot on my mind recently.,happiness,question,work
Why didn't you call me back last night?,"Sure, let's go over the details.",disgust,commissive,politics
Have you ever been to Paris?,It's challenging but rewarding.,fear,directive,health
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",happiness,commissive,culture & education
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",anger,commissive,relationship
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",surprise,inform,politics
Why do you seem so distant these days?,I'd say start with something like Spanish.,anger,directive,school life
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",surprise,commissive,school life
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,anger,inform,ordinary life
What's been bothering you lately?,"If we push hard, we definitely can.",happiness,question,culture & education
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",disgust,inform,ordinary life
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details.",fear,question,ordinary life
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",anger,commissive,attitude & emotion
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,disgust,directive,politics
Why do you seem so distant these days?,I've just had a lot on my mind recently.,sadness,question,culture & education
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",surprise,inform,culture & education
Why didn't you call me back last night?,"Sure, let's go over the details.",anger,inform,health
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",surprise,inform,politics
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",surprise,commissive,finance
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",fear,commissive,tourism
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",disgust,inform,health
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",anger,commissive,health
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",disgust,commissive,school life
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",fear,directive,culture & education
Why do you seem so distant these days?,"If we push hard, we definitely can.",sadness,question,finance
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",happiness,commissive,tourism
Why do you seem so distant these days?,I'd say start with something like Spanish.,sadness,question,politics
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",happiness,inform,school life
Why didn't you call me back last night?,I've just had a lot on my mind recently.,disgust,commissive,finance
What's been bothering you lately?,"I'm thinking of a road trip, actually.",surprise,commissive,work
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",anger,commissive,school life
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",disgust,directive,health
What's been bothering you lately?,"If we push hard, we definitely can.",surprise,directive,finance
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",surprise,directive,culture & education
Why do you seem so distant these days?,It's challenging but rewarding.,sadness,directive,health
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",sadness,inform,finance
Can we talk about that project now?,"Sure, let's go over the details.",disgust,question,politics
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",anger,question,health
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",surprise,directive,attitude & emotion
What are your plans for the weekend?,"Sure, let's go over the details.",happiness,directive,school life
Why didn't you call me back last night?,"I'm really sorry, something came up.",surprise,question,attitude & emotion
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",surprise,question,ordinary life
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",disgust,directive,relationship
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",sadness,question,attitude & emotion
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",disgust,question,relationship
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",anger,commissive,ordinary life
Why do you seem so distant these days?,I've just had a lot on my mind recently.,fear,question,culture & education
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",happiness,directive,attitude & emotion
Can we talk about that project now?,"I'm thinking of a road trip, actually.",anger,commissive,health
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",fear,commissive,finance
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",surprise,directive,school life
Can we talk about that project now?,"I'm thinking of a road trip, actually.",surprise,commissive,ordinary life
Have you ever been to Paris?,I'd say start with something like Spanish.,happiness,inform,tourism
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",anger,inform,relationship
What's been bothering you lately?,"I'm thinking of a road trip, actually.",anger,directive,relationship
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",disgust,directive,school life
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,sadness,inform,finance
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",sadness,directive,politics
Can we talk about that project now?,I'd say start with something like Spanish.,anger,directive,culture & education
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",anger,inform,politics
Can we talk about that project now?,It's challenging but rewarding.,sadness,question,ordinary life
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",anger,commissive,ordinary life
Have you ever been to Paris?,"I'm thinking of a road trip, actually.",disgust,question,ordinary life
Have you ever been to Paris?,"I'm really sorry, something came up.",surprise,inform,ordinary life
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",happiness,commissive,work
Why didn't you call me back last night?,"I'm really sorry, something came up.",disgust,question,school life
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",fear,directive,culture & education
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",sadness,directive,relationship
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",fear,question,health
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",sadness,question,school life
Why do you seem so distant these days?,"I'm really sorry, something came up.",anger,inform,ordinary life
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",happiness,inform,ordinary life
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",surprise,inform,health
Can we talk about that project now?,"Sure, let's go over the details.",anger,question,relationship
What's been bothering you lately?,I'd say start with something like Spanish.,sadness,directive,ordinary life
"I heard you got a new job, how is it going?","Sure, let's go over the details.",fear,directive,tourism
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",surprise,commissive,school life
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,surprise,question,ordinary life
Why didn't you call me back last night?,I've just had a lot on my mind recently.,sadness,inform,ordinary life
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",disgust,commissive,attitude & emotion
Do you think we'll finish this task on time?,"Sure, let's go over the details.",sadness,commissive,relationship
What's been bothering you lately?,"I'm really sorry, something came up.",happiness,directive,politics
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",disgust,inform,school life
What are your plans for the weekend?,"I'm really sorry, something came up.",happiness,directive,ordinary life
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",happiness,question,attitude & emotion
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",disgust,inform,tourism
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",happiness,directive,culture & education
What are your plans for the weekend?,It's challenging but rewarding.,anger,directive,attitude & emotion
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",fear,directive,culture & education
What's been bothering you lately?,"If we push hard, we definitely can.",fear,inform,tourism
Why didn't you call me back last night?,I'd say start with something like Spanish.,surprise,commissive,finance
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,disgust,directive,attitude & emotion
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",fear,commissive,attitude & emotion
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",fear,commissive,finance
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",anger,question,ordinary life
Do you think we'll finish this task on time?,It's challenging but rewarding.,sadness,inform,relationship
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",happiness,directive,politics
What's been bothering you lately?,"Sure, let's go over the details.",disgust,commissive,tourism
Why didn't you call me back last night?,It's challenging but rewarding.,disgust,question,attitude & emotion
Have you ever been to Paris?,I'd say start with something like Spanish.,surprise,commissive,politics
What's been bothering you lately?,"I'm really sorry, something came up.",fear,commissive,health
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",disgust,commissive,culture & education
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",sadness,inform,politics
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,anger,inform,finance
Have you ever been to Paris?,I'd say start with something like Spanish.,happiness,inform,work
Why do you seem so distant these days?,"I'm really sorry, something came up.",sadness,commissive,relationship
Why didn't you call me back last night?,"I'm really sorry, something came up.",happiness,question,culture & education
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,happiness,commissive,school life
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,happiness,directive,health
Why didn't you call me back last night?,I'd say start with something like Spanish.,surprise,question,tourism
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",sadness,question,ordinary life
What's been bothering you lately?,I've just had a lot on my mind recently.,disgust,commissive,tourism
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,happiness,question,tourism
Have you ever been to Paris?,I've just had a lot on my mind recently.,anger,inform,school life
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,fear,question,tourism
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.,sadness,directive,politics
Can we talk about that project now?,It's challenging but rewarding.,happiness,directive,ordinary life
Why didn't you call me back last night?,I've just had a lot on my mind recently.,fear,inform,ordinary life
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",surprise,commissive,finance
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,surprise,inform,school life
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",anger,commissive,attitude & emotion
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",anger,directive,attitude & emotion
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",sadness,inform,attitude & emotion
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",anger,inform,finance
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",anger,directive,tourism
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,fear,question,health
Why do you seem so distant these days?,"I'm really sorry, something came up.",fear,commissive,culture & education
Why do you seem so distant these days?,I've just had a lot on my mind recently.,surprise,commissive,tourism
"I heard you got a new job, how is it going?","Sure, let's go over the details.",fear,directive,work
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,happiness,commissive,tourism
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,happiness,inform,ordinary life
Why do you seem so distant these days?,I'd say start with something like Spanish.,fear,inform,attitude & emotion
Can we talk about that project now?,I've just had a lot on my mind recently.,fear,commissive,ordinary life
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",happiness,commissive,culture & education
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",anger,question,ordinary life
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",disgust,commissive,school life
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",surprise,question,relationship
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",disgust,inform,work
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",disgust,commissive,politics
What's been bothering you lately?,"If we push hard, we definitely can.",fear,inform,work
Why do you seem so distant these days?,"If we push hard, we definitely can.",sadness,directive,culture & education
Have you ever been to Paris?,"I'm really sorry, something came up.",surprise,question,health
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",happiness,question,health
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",fear,inform,relationship
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",sadness,question,relationship
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",happiness,directive,school life
What's been bothering you lately?,"Sure, let's go over the details.",disgust,commissive,work
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",anger,commissive,finance
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,anger,commissive,politics
Can we talk about that project now?,"Sure, let's go over the details.",sadness,directive,attitude & emotion
Why didn't you call me back last night?,I've just had a lot on my mind recently.,sadness,question,health
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",anger,directive,tourism
Have you ever been to Paris?,"If we push hard, we definitely can.",anger,inform,health
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",sadness,inform,relationship
"I heard you got a new job, how is it going?",It's challenging but rewarding.,anger,directive,tourism
Have you ever been to Paris?,"If we push hard, we definitely can.",anger,commissive,school life
Have you ever been to Paris?,"If we push hard, we definitely can.",surprise,inform,ordinary life
What are your plans for the weekend?,"I'm really sorry, something came up.",anger,commissive,ordinary life
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",sadness,inform,tourism
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",happiness,commissive,finance
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",anger,commissive,culture & education
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",sadness,question,attitude & emotion
Why didn't you call me back last night?,I'd say start with something like Spanish.,anger,directive,attitude & emotion
What are your plans for the weekend?,"I'm really sorry, something came up.",surprise,commissive,health
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",sadness,commissive,tourism
Why didn't you call me back last night?,"I'm really sorry, something came up.",anger,inform,relationship
What's been bothering you lately?,I've just had a lot on my mind recently.,disgust,commissive,work
Can we talk about that project now?,"I'm thinking of a road trip, actually.",disgust,directive,relationship
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",sadness,inform,school life
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,happiness,question,work
Why didn't you call me back last night?,It's challenging but rewarding.,surprise,commissive,relationship
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,fear,question,work
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",surprise,question,finance
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",happiness,commissive,ordinary life
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,happiness,inform,tourism
Do you think we'll finish this task on time?,"Sure, let's go over the details.",surprise,commissive,school life
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",fear,directive,attitude & emotion
What's been bothering you lately?,It's challenging but rewarding.,anger,inform,health
Why do you seem so distant these days?,"Sure, let's go over the details.",disgust,inform,tourism
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",happiness,inform,politics
What's been bothering you lately?,It's challenging but rewarding.,anger,commissive,school life
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",anger,directive,work
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",surprise,directive,culture & education
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",surprise,directive,tourism
Why do you seem so distant these days?,"If we push hard, we definitely can.",fear,directive,school life
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",anger,question,ordinary life
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit.",disgust,inform,school life
What's been bothering you lately?,It's challenging but rewarding.,surprise,inform,ordinary life
Why do you seem so distant these days?,I've just had a lot on my mind recently.,surprise,commissive,work
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",fear,directive,ordinary life
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,anger,question,politics
Why didn't you call me back last night?,"If we push hard, we definitely can.",disgust,directive,tourism
Have you ever been to Paris?,"I'm really sorry, something came up.",happiness,commissive,health
What's been bothering you lately?,It's challenging but rewarding.,fear,question,politics
Why didn't you call me back last night?,I'd say start with something like Spanish.,fear,directive,politics
Have you ever been to Paris?,"If we push hard, we definitely can.",happiness,commissive,ordinary life
Can we talk about that project now?,I've just had a lot on my mind recently.,sadness,inform,relationship
Have you ever been to Paris?,I've just had a lot on my mind recently.,surprise,question,school life
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",sadness,inform,health
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,happiness,commissive,health
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",sadness,question,finance
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",sadness,commissive,school life
